unix_ms,node_id,broadcast_hello_cycles,broadcast_topo_cycles,process_packet_hello_cycles,process_packet_topo_cycles,calc_state_mds_total_cycles,calc_state_kabsch_cycles,calc_state_mds_iter_cycles,calc_state_routing_update_cycles,calc_state_build_neighbors_cycles,update_screen_mds_cycles,update_screen_table_cycles,broadcast_hello_ns,broadcast_topo_ns,process_packet_hello_ns,process_packet_topo_ns,calc_state_mds_total_ns,calc_state_kabsch_ns,calc_state_mds_iter_ns,calc_state_routing_update_ns,calc_state_build_neighbors_ns,update_screen_mds_ns,update_screen_table_ns
1782670061860,5,74280,35117,70987,7281,7779922,72203,7681632,302849,82771,18697587,8933774,464250.000,219481.250,443668.750,45506.250,48624512.500,451268.750,48010200.000,1892806.250,517318.750,116859918.750,55836087.500
1782670061879,10,70217,36682,114123,5572,129296,0,88741,122368,33739,0,0,438856.250,229262.500,713268.750,34825.000,808100.000,0.000,554631.250,764800.000,210868.750,0.000,0.000
1782670061879,5,74280,35117,70987,8883,7779922,72203,7681632,302849,82771,18697587,8933774,464250.000,219481.250,443668.750,55518.750,48624512.500,451268.750,48010200.000,1892806.250,517318.750,116859918.750,55836087.500
1782670061887,9,36982,35097,0,100927,128666,0,88741,118296,16411,0,0,231137.500,219356.250,0.000,630793.750,804162.500,0.000,554631.250,739350.000,102568.750,0.000,0.000
1782670061887,3,74384,30260,122653,81927,130044,0,90270,129534,40512,18331068,0,464900.000,189125.000,766581.250,512043.750,812775.000,0.000,564187.500,809587.500,253200.000,114569175.000,0.000
1782670061897,10,70217,36682,114123,101555,129296,0,88741,122368,33739,0,0,438856.250,229262.500,713268.750,634718.750,808100.000,0.000,554631.250,764800.000,210868.750,0.000,0.000
1782670061906,3,74384,30260,122653,91161,130044,0,90270,129534,40512,18331068,0,464900.000,189125.000,766581.250,569756.250,812775.000,0.000,564187.500,809587.500,253200.000,114569175.000,0.000
1782670061908,9,36982,35097,0,100927,128666,0,88741,118296,16411,0,0,231137.500,219356.250,0.000,630793.750,804162.500,0.000,554631.250,739350.000,102568.750,0.000,0.000
1782670061911,10,70217,36682,114123,12880,129296,0,88741,122368,33739,0,0,438856.250,229262.500,713268.750,80500.000,808100.000,0.000,554631.250,764800.000,210868.750,0.000,0.000
1782670061921,8,45000,31405,66107,98371,128666,0,88741,118093,197559,0,0,281250.000,196281.250,413168.750,614818.750,804162.500,0.000,554631.250,738081.250,1234743.750,0.000,0.000
1782670061932,2,38927,32853,71337,99557,130666,0,90270,277288,35240,0,0,243293.750,205331.250,445856.250,622231.250,816662.500,0.000,564187.500,1733050.000,220250.000,0.000,0.000
1782670061932,10,70217,36682,114123,100283,129296,0,88741,122368,33739,0,0,438856.250,229262.500,713268.750,626768.750,808100.000,0.000,554631.250,764800.000,210868.750,0.000,0.000
1782670061932,3,74384,30260,122653,91161,130044,0,90270,129534,40512,18331068,0,464900.000,189125.000,766581.250,569756.250,812775.000,0.000,564187.500,809587.500,253200.000,114569175.000,0.000
1782670061939,8,45000,31405,66107,98371,128666,0,88741,118093,197559,0,0,281250.000,196281.250,413168.750,614818.750,804162.500,0.000,554631.250,738081.250,1234743.750,0.000,0.000
1782670061939,9,36982,35097,0,4784,128666,0,88741,118296,16411,0,0,231137.500,219356.250,0.000,29900.000,804162.500,0.000,554631.250,739350.000,102568.750,0.000,0.000
1782670061942,10,72735,36682,114123,100283,129296,0,88741,122368,33739,0,0,454593.750,229262.500,713268.750,626768.750,808100.000,0.000,554631.250,764800.000,210868.750,0.000,0.000
1782670061944,3,74384,30260,122653,91161,130044,0,90270,129534,40512,18331068,0,464900.000,189125.000,766581.250,569756.250,812775.000,0.000,564187.500,809587.500,253200.000,114569175.000,0.000
1782670061944,2,38927,32853,71337,99955,130666,0,90270,277288,35240,0,0,243293.750,205331.250,445856.250,624718.750,816662.500,0.000,564187.500,1733050.000,220250.000,0.000,0.000
1782670061958,8,45000,31405,66107,98371,128666,0,88741,118093,197559,0,0,281250.000,196281.250,413168.750,614818.750,804162.500,0.000,554631.250,738081.250,1234743.750,0.000,0.000
1782670061958,5,74280,35117,70987,101229,7560210,68947,7465176,298848,83401,18697587,8933774,464250.000,219481.250,443668.750,632681.250,47251312.500,430918.750,46657350.000,1867800.000,521256.250,116859918.750,55836087.500
1782670061965,3,74384,30260,122653,91161,130044,0,90270,129534,40512,18331068,0,464900.000,189125.000,766581.250,569756.250,812775.000,0.000,564187.500,809587.500,253200.000,114569175.000,0.000
1782670061965,9,36982,35097,0,102181,128666,0,88741,118296,16411,0,0,231137.500,219356.250,0.000,638631.250,804162.500,0.000,554631.250,739350.000,102568.750,0.000,0.000
1782670061968,8,45000,31405,66107,98371,128666,0,88741,118093,197559,0,0,281250.000,196281.250,413168.750,614818.750,804162.500,0.000,554631.250,738081.250,1234743.750,0.000,0.000
1782670061968,2,38927,32853,71337,99955,130666,0,90270,277288,35240,0,0,243293.750,205331.250,445856.250,624718.750,816662.500,0.000,564187.500,1733050.000,220250.000,0.000,0.000
1782670061980,3,74384,30260,122653,91161,130044,0,90270,129534,40512,18331068,0,464900.000,189125.000,766581.250,569756.250,812775.000,0.000,564187.500,809587.500,253200.000,114569175.000,0.000
1782670061980,9,36982,35068,0,101553,128666,0,88741,118296,16411,0,0,231137.500,219175.000,0.000,634706.250,804162.500,0.000,554631.250,739350.000,102568.750,0.000,0.000
1782670061982,2,38927,32853,71337,99955,130666,0,90270,277288,35240,0,0,243293.750,205331.250,445856.250,624718.750,816662.500,0.000,564187.500,1733050.000,220250.000,0.000,0.000
1782670061985,8,45000,31405,66107,98371,128666,0,88741,118093,197559,0,0,281250.000,196281.250,413168.750,614818.750,804162.500,0.000,554631.250,738081.250,1234743.750,0.000,0.000
